,Question,Answer,Source
0,['What is the product identifier?'],"['{""answer"": Marks -A-Lot Permanent Markers, ""source"": Section 1: Identification}\n']",[JSONDecodeError('Expecting value: line 1 column 12 (char 11)')]
1,['When was the Safety Data Sheet issued?'],['5-15-2015'],['SAFETY DATA SHEET 5-15-2015']
2,['What is the product description?'],"['KLEIBERIT 826.0, polyethylene glycol, MARKS -A-LOT PERMANENT MARKERS, CARTER’S PERMANENT MARKER, MARKS -A-LOT COMFORT GRIP PERMANENT MARKER, MARKS -A-LOT JUMBO PERMANENT MARKER']","['Trade name / Article No: , Product description']"
3,['Who is the manufacturer of the product?'],"['Avery Products Corporation, KLEBCHEMIE KLEIBERIT Adhesives USA Inc. ']","['Section 1: Identification, 1.3. Details of the supplier of the safety data sheet']"
4,['What is the emergency telephone number for the product?'],['1-800-222-1222'],['Section 1: Identification']
5,['What are the hazard classifications associated with the product?'],"['Serious Eye Damage – Category 1, Flammable Liquid, Void']","['Section 2: Hazard(s) Identification, Section 2.2: Label elements']"
6,['What is the signal word used for the product?'],['None'],['Section 16: Other Information']
7,['What are the hazard statements related to the product?'],['Causes serious eye damage Highly flammable liquid vapor'],['Section 2: Hazard(s) Identification']
8,['What precautions should be taken while handling the product?'],['Use non-sparking tools. Take action to prevent static discharges. Wear protective glove/protective clothing/eye protection /face protection. Store in well-ventilated place.'],"['Section 7: Handling and Storage, Precaution Statement(s)']"
9,['What are the first aid measures in case of inhalation?'],['Supply fresh air; consult doctor in case of complaints.'],['4.1. Description of first aid measures']
10,['What are the first aid measures in case of skin contact?'],['Generally the product does not irritate the skin. In case of irritation: Rinse skin with water [or shower]. Take off immediately all contaminated clothing.'],['4.1. Description of first aid measures']
11,['What are the first aid measures in case of eye contact?'],['Rinse opened eye for several minutes under running water.'],['Section 4: First Aid Measures']
12,['What are the first aid measures in case of ingestion?'],['Rinse out mouth with plenty of water. Rinse out mouth and then drink plenty of water. Seek medical treatment.'],['4.1. Description of first aid measures']
13,['What are the suitable extinguishing media for a fire involving the product?'],"['CO2, extinguishing powder or water spray']",['Section 5: Fire -Fighting Measures']
14,['What are the special hazards arising from the substance during a fire?'],['No further relevant information available.'],['5.2. Special hazards arising from the substance or mixture']
15,['Are there any special fire handling procedures required for the product?'],['No special fire fighting procedures required.'],['Section 5: Fire -Fighting Measures']
16,"['How should accidental releases, spill, or leak of the product be handled?']","['Clean up in accordance with all applicable regulations. Absorb spillage with non-combustible, absorbent material. For waste disposal, see Section 13.']",['Section 6: Accidental Release Measures']
17,['What precautions should be taken for safe handling and storage of the product?'],"['No special measures required, Keep container tightly closed.']","['7.1. Precautions for safe handling, 7.2. Conditions for safe storage, including any incompatibilities']"
18,['What are the exposure controls and personal protection measures recommended for the product?'],['Personal protective equipment: General protective and hygienic measures; Personal protective gloves are recommended.'],"['Exposure controls/personal protection, 8.2. Exposure controls, Protection of hands']"
19,['What are the physical and chemical properties of the product?'],['Form: Fluid; Color: Colorless; Odor: Mild; pH-value at 20 °C (68 °F): 6-7.5 (100g/L); Melting point/Melting range: -20 °C (-4 °F); Boiling point/Boiling range: 229 °C (444 °F); Setting temperature / range: 4 - 8 °C (39 - 46 °F); Flash Point: >200 °C (>392 °F); Density at 20 °C (68 °F): 1.13 g/cm³ (9.43 lbs/gal)'],['Physical and chemical properties']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],['stable'],['Section 10: Stability and Reactivity']
21,['What are the possible hazardous decomposition products of the product?'],['NONE'],['Section 10: Stability and Reactivity']
22,['What is the toxicological information available for the product?'],"['Acute toxicity: Based on available data, the classification criteria are not met.  LD/LC50 values that are relevant for classification : Oral LD 50>15000 mg/kg (rat) DermalLD 50>20000 mg/kg (rabbit) >2000 mg/kg (rat);  Primary irritant effect: based on available data, the classification criteria are not met; Sensitization: Based on available data, the classification criteria are not met.']",['11.1. Information on toxicological effects']
23,['What are the safety precautions and handling instructions for using the product?'],"['Use non-sparking tools, take action to prevent static discharges, wear protective gloves/protective clothing/eye protection/face protection, store in well-ventilated place, keep container tightly closed and ground and bond container and receiving equipment.']","['7.1. Precautions for safe handling, 7.2. Conditions for safe storage, including any incompatibilities, 8.2. Exposure controls']"
24,['What are the potential hazards associated with the product?'],"['Serious Eye Damage – Category 1, Flammable Liquid, Causes serious eye damage, Highly flammable liquid vapor']",['Section 2: Hazard(s) Identification']
