,Source(T/F),Answer(T/F),Question,Answer,Source
0,,,['What is the product identifier?'],['Product Name: Marks -A-Lot Permanent Markers Inks'],['Section 1: Identification']
1,,,['When was the Safety Data Sheet issued?'],['5-15-2015'],['SAFETY DATA SHEET 5-15-2015']
2,,,['What is the product description?'],['Marks -A-Lot Permanent Markers Inks'],['Section 1: Identification Product Name']
3,,,['Who is the manufacturer of the product?'],['Avery Products Corporation'],['Section 1: Identification']
4,,,['What is the emergency telephone number for the product?'],['1-800-222-1222'],"['Manufacturer Information, Emergency Phone Number: ']"
5,,,['What are the hazard classifications associated with the product?'],"['Serious Eye Damage ??Category 1, Flammable Liquid']",['Section 2: Hazard(s) Identification']
6,,,['What is the signal word used for the product?'],['None'],['Section 1: Identification']
7,,,['What are the hazard statements related to the product?'],"['Causes serious eye damage, Highly flammable liquid vapor']",['Section 2: Hazard(s) Identification']
8,,,['What precautions should be taken while handling the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion-proof equipment. Wear protective glove/protective clothing/eye protection /face protection. Use non-sparking tools.']","['Section 7: Handling and Storage, Precaution Statement(s)']"
9,,,['What are the first aid measures in case of inhalation?'],"['Rinse skin with water [or shower]. Take off immediately all contaminated clothing. IF IN EYES. Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing; There are no first aid measures in case of inhalation']","['Section 3: Composition/Information on Ingredients, Section 6: Accidental Release Measures']"
10,,,['What are the first aid measures in case of skin contact?'],['Rinse skin with water [or shower]. Take off immediately all contaminated clothing.'],['Section 4: First Aid Measures']
11,,,['What are the first aid measures in case of eye contact?'],"['Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']",['Section 4: First Aid Measures']
12,,,['What are the first aid measures in case of ingestion?'],['I dont know'],['N/A']
13,,,['What are the suitable extinguishing media for a fire involving the product?'],['No special media required'],['Section 5: Fire -Fighting Measures']
14,,,['What are the special hazards arising from the substance during a fire?'],['None'],['Section 5: Fire-Fighting Measures']
15,,,['Are there any special fire handling procedures required for the product?'],['NO SPECIAL FIRE FIGHTING PROCEDURES REQUIRED'],['Section 5: Fire -Fighting Measures']
16,,,"['How should accidental releases, spill, or leak of the product be handled?']","['Clean up in accordance with all applicable regulations. Absorb spillage with non-combustible, absorbent material.']",['Section 6: Accidental Release Measures']
17,,,['What precautions should be taken for safe handling and storage of the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion -proof equipment. Use non -sparking tools. Take action to prevent static discharges. Wear protective glove/protective clothing/eye protection /face protection. Store in well -ventilated place.']","['Precaution to be taken during handling and storage, Section 7: Handling and Storage']"
18,,,['What are the exposure controls and personal protection measures recommended for the product?'],"['When exposure cannot be adequately controlled in this way, personal respiratory protection should be employed. None required for Respiratory Protection and Special Ventilation Requirements and Other Protective Equipment.']","['Section 7: Handling and Storage, Section 8: Exposure Controls/Personal Protection']"
19,,,['What are the physical and chemical properties of the product?'],"['None, N/A, Non-reactive, Stable']","['Section 9: Physical and Chemical Properties, Section 10: Stability and Reactivity, Section 9: Physical and Chemical Properties, Section 10: Stability and Reactivity']"
20,,,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],"['Stable, non-reactive']",['Section 10: Stability and Reactivity']
21,,,['What are the possible hazardous decomposition products of the product?'],['NONE'],['Section 10: Stability and Reactivity']
22,,,['What is the toxicological information available for the product?'],"['No human carcinogen, No harmful effects known other than those associated with suspended inert solids in water']",['Section 2: Hazard(s) Identification and Section 1: Ecological Information']
23,,,['What are the safety precautions and handling instructions for using the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion-proof equipment. Wear protective glove/protective clothing/eye protection /face protection.']","['Symbol(s) Signal Word (s), Measures, PRECAUTION TO BE TAKEN DURING HANDLING AND STORAGE: ']"
24,,,['What are the potential hazards associated with the product?'],"['Serious Eye Damage, Flammable Liquid']",['Section 2: Hazard(s) Identification']
25,,,['What are the specific health effects or risks associated with exposure to the product?'],['Serious Eye Damage'],['Section 2: Hazard(s) Identification']
26,,,['What are the emergency procedures in case of inhalation of the product?'],"['Rinse skin with water [or shower]. Take off immediately all contaminated clothing. IF IN EYES. Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing ']",['Section 6: Accidental Release Measures']
27,,,['What are the emergency procedures in case of skin contact with the product?'],['Rinse skin with water [or shower]. Take off immediately all contaminated clothing.'],"['Section 6: Accidental Release Measures, Section 7: Handling and Storage']"
28,,,['What are the emergency procedures in case of eye contact with the product?'],"['Rinse skin with water [or shower]. Take off immediately all contaminated clothing. IF IN EYES. Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing.']",['Section 3: Composition/Information on Ingredients Section 7: Handling and Storage']
29,,,['What are the emergency procedures in case of ingestion of the product?'],"['Rinse skin with water [or shower]. Take off immediately all contaminated clothing. IF IN EYES. Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']",['Response']
30,,,['What is the waste disposal method for the product?'],"['Dispose of in accordance with federal, state and local regulations']",['Section 1.3: Disposal Considerations']
31,,,['Are there any specific storage requirements or conditions for safely storing the product?'],['Store in well-ventilated place. Keep container tightly closed.'],"['Section 7: Handling and Storage, Section 2: Hazard Statements']"
32,,,['What is the shelf life of the product?'],['I dont know'],['N/A']
33,,,['What are the composition and ingredients of the product?'],['N-Propanol'],['Section 3: Composition/Information on Ingredients']
34,,,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],['NONE'],"['Section 10: Stability and Reactivity, Section 9: Physical and Chemical Properties']"
35,,,['What is the odor of the product?'],['I dont know'],['N/A']
36,,,['What is the boiling point of the product?'],['N/A'],['Section 9: Physical and Chemical Properties']
37,,,['Is the product flammable?'],['Highly flammable liquid vapor'],['Symbol(s) Signal Word (s)']
38,,,['What is the solubility of the product?'],['N/A'],['Section 9: Physical and Chemical Properties']
39,,,"['Is the product stable under certain conditions, and are there any potential decomposition products?']","['Yes, stable under none conditions to avoid']",['Section 10: Stability and Reactivity']
40,,,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']","['Good industrial hygiene practices, provision of adequate ventilation, personal respiratory protection']","['Section 7: Handling and Storage, Section 8: Exposure Controls/Personal Protection']"
41,,,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],"['Dispose of in accordance with Federal, State and Local regulations, RCRA Hazard Class (40 CFR 261) Not Classified as a hazardous waste, Clean up in accordance with all applicable regulations.']","['Section 6: Accidental Release Measures, Section 13: Disposal Considerations']"
42,,,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],['No'],['Section 3: Composition/Information on Ingredients']
