Question,Answer,Source,Note
What is the product identifier?,Not applicable.,"Section XIV. Transport Information, DOT Classification",沒抓到資料
When was the Safety Data Sheet issued?,Information not available in the provided context,N/A,沒抓到資料
What is the product description?,Not available,"Section X. Stability and Reactivity, Corrosivity",沒抓到資料
Who is the manufacturer of the product?,"The manufacturer of the product is not explicitly stated in the provided context, but Prepared by Product Safety - TAR on 7/3/2001 indicates an internal department or team responsible for preparing the SDS.","Section X. Stability and Reactivity, Section III. Handling Information, Section XV. Regulatory Information",沒抓到資料
What is the emergency telephone number for the product?,"Petro-Canada: 403-296-3000, Canutec Transportation: 613-996-6666, Poison Control Centre: Consult local telephone directory for emergency number(s).",Section I. Chemical Product and Company Identification,
What are the hazard classifications associated with the product?,"The product has the following hazard classifications associated with it: Fire Hazard (1), Health Hazard (2*), and Reactivity (0) with slight irritation of skin, eyes, and respiratory tract. It is also reactive with oxidizing agents, acids, and alkalis. Decomposition may release COx, smoke, and irritating vapours when heated to decomposition.","Section I. Chemical Product and Company Identification, Section III. Hazards Identification., Section X. Stability and Reactivity.",
What is the signal word used for the product?,Information not available in the provided context,N/A,
What are the hazard statements related to the product?,"The product is classified under the following hazard criteria: Health Hazard (2*), Fire Hazard (1), Reactivity (0), Not available (Corrosivity).","Section I. Identification, Section X. Stability and Reactivity",
What precautions should be taken while handling the product?,"While handling the product, wear appropriate chemically protective gloves. When handling hot product ensure gloves are heat resistant and insulated. Wear appropriate clothing to prevent skin contact, as a minimum long sleeves and trousers should be worn. Ensure that eyewash station and safety shower are close to work-station. Wear appropriate footwear to prevent product from coming in contact with feet and skin. If user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection",
What are the first aid measures in case of inhalation?,"Evacuate the victim to a safe area as soon as possible. If the victim is not breathing, perform artificial respiration. Allow the victim to rest in a well ventilated area. DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.","Section IV. First Aid Measures, Ingestion",
What are the first aid measures in case of skin contact?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap. Seek medical attention.,"Section IV. First Aid Measures, Skin Contact",
What are the first aid measures in case of eye contact?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.",Section IV. First Aid Measures,
What are the first aid measures in case of ingestion?,DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.,Section IV. First Aid Measures,
What are the suitable extinguishing media for a fire involving the product?,"Use DRY chemicals, CO2, water spray, or foam for a small fire. For a large fire, use water spray, fog, or foam. Do NOT use water jet.",Section V. Fire-fighting Measures,
What are the special hazards arising from the substance during a fire?,"Carbon oxides (CO, CO2), smoke and irritating vapours as products of incomplete combustion.","Section IV. First Aid Measures, Section V. Fire-fighting Measures",
Are there any special fire handling procedures required for the product?,"Yes, use water spray, fog or foam for LARGE FIRE. DO NOT use water jet. The product is combustible in presence of open flames and sparks.",Section V. Fire-fighting Measures,
"How should accidental releases, spill, or leak of the product be handled?","For a small spill or leak, dilute with water and mop up or absorb with an inert DRY material and place in an appropriate waste disposal container. For a large spill or leak, absorb with an inert material and put the spilled material in an appropriate waste disposal, dispose of in accordance with regional regulations.","Section VI. Accidental Release Measures, Section VII. Handling and Storage",
What precautions should be taken for safe handling and storage of the product?,"To ensure safe handling and storage of the product, special ventilation is not necessary for normal application. However, if user's operations generate vapors or mist, use ventilation to keep exposure below the exposure limit. Also, make-up air should be supplied to balance removed air. Ensure that eyewash station and safety shower are close to work-station. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Use personal protective equipment (PPE) as necessary, including chemically protective gloves, when handling hot product ensure gloves are heat resistant and insulated. Additionally, wear appropriate clothing to prevent skin contact and eye protection should be determined based on conditions of use. Remove contaminated clothing, launder before reuse, and wash gently and thoroughly the contaminated skin with running water and non-abrasive soap.","VII. Handling and Storage, VIII. Exposure Controls/Personal Protection, IV. First Aid Measures",
What are the exposure controls and personal protection measures recommended for the product?,"Wear appropriate chemically protective gloves, ensure gloves are heat resistant and insulated when handling hot product; wear appropriate clothing to prevent skin contact (minimum long sleeves and trousers); consider safety goggles or face shield for applications with splashing; ensure eyewash station and safety shower close to work-station. Where concentrations in air may exceed occupational exposure limits, use NIOSH-approved respirators to prevent overexposure by inhalation.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection",
What are the physical and chemical properties of the product?,"The product is a clear viscous liquid with an appearance of green colour. It has an odourless smell, a boiling point of 129 to 197簞C (264 to 387簞F), a density of 1.115 to 1.145 (Water = 1), and a vapour pressure of 0.06 mmHg @ 20簞C (68繙F). It is soluble in water, methanol, and diethyl ether.",Section IX. Physical and Chemical Properties,
Is the product stable or reactive? Are there any hazardous reactions to be aware of?,"The product is stable. However, it may release COx, smoke, and irritating vapours when heated to decomposition. It is also reactive with oxidizing agents, acids, and alkalis.",Section X: Stability and Reactivity,
What are the possible hazardous decomposition products of the product?,"Carbon oxides (CO, CO2), smoke and irritating vapours",Section V. Fire-fighting Measures,
What is the toxicological information available for the product?,The substance may be toxic to kidneys and liver. Repeated or prolonged exposure can produce target organs damage. Repeated exposure to a highly toxic material may produce general deterioration of health by an accumulation in one or many human organs.,Other Considerations,
What are the safety precautions and handling instructions for using the product?,"For handling, wear appropriate chemically protective gloves. When handling hot product ensure gloves are heat resistant and insulated. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Wear appropriate clothing to prevent skin contact (as a minimum long sleeves and trousers should be worn). Use ventilation if vapors or mist are generated. Ensure that eyewash station and safety shower are close to the work-station. Eye protection should be determined based on conditions of use, and consider safety goggles and/or face shield if splashing may occur.",Section VII. Handling and Storage; Section VIII. Exposure Controls/Personal Protection,
What are the potential hazards associated with the product?,"The potential hazards associated with the product are: Corrosivity by reaction with oxidizing agents, acids, and alkalis; May release COx, smoke, and irritating vapours when heated to decomposition. It can cause slight irritation of skin, eyes, and respiratory tract. In case of ingestion it is extremely dangerous. Slightly hazardous in case of inhalation (lung irritant), can cause nausea, headaches, and vomiting. Slightly hazardous in case of skin contact (irritant).","Section X. Stability and Reactivity, Section XI. Toxicological Information",
What are the specific health effects or risks associated with exposure to the product?,"The substance may be toxic to kidneys and liver. Repeated or prolonged exposure can produce target organs damage, general deterioration of health by an accumulation in one or many human organs. Can cause nausea, headaches, and vomiting. Slightly hazardous in case of inhalation (lung irritant). Slightly hazardous in case of skin contact (irritant). Extremely dangerous in case of ingestion. Fetotoxic and teratogenic in mice at levels below maternal toxicity.","Other Considerations, Dermal Route, Inhalation Route, Oral Route, Skin Sensitization",
What are the emergency procedures in case of inhalation of the product?,"Wear NIOSH approved respirators may be necessary to prevent overexposure by inhalation. Where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices or other means of exposure reduction are not adequate.",Section VIII. Exposure Controls/Personal Protection,
What are the emergency procedures in case of skin contact with the product?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap. Seek medical attention.,"Section IV. First Aid Measures, Skin Contact",
What are the emergency procedures in case of eye contact with the product?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.",Section IV. First Aid Measures,
What are the emergency procedures in case of ingestion of the product?,"DO NOT induce vomiting, seek medical attention; can cause nausea, headaches and vomiting; extremely dangerous in case of ingestion","Section IV. First Aid Measures, Section XI. Toxicological Information",
What is the waste disposal method for the product?,The preferred waste management priorities are: (1) recycle or reprocess; (2) incineration with energy recovery; (3) disposal at licensed waste disposal facility. Ensure that disposal or reprocessing is in compliance with government requirements and local disposal regulations.,"Section XIII. Disposal Considerations, Section X. Stability and Reactivity",
