Source(T/F),,Question,Answer,Source,Note
T,T,What is the product identifier?,ANTIFREEZE,"Section I. Identification, Section XVI. Other Information",
T/F,T/F,When was the Safety Data Sheet issued?,Information not available in the provided context,N/A,"沒找到資料， 更改問題為「When is the SDS prepared?」的答案為""The SDS was prepared by Product Safety - TAR on 7/3/2001."""
T,T,What is the product description?,Antifreeze,"Section XVI. Other Information, Section X. Stability and Reactivity",
T,T,Who is the manufacturer of the product?,Petro-Canada,"Section XVI. Other Information, Marque de commerce de Petro-Canada - Trademark",
T,T,What is the emergency telephone number for the product?,403-296-3000,Section I. Chemical Product and Company Identification,
T,F,What are the hazard classifications associated with the product?,"The hazard classifications associated with the product include Fire Hazard rating of 2*, Health Hazard, Reactivity (Reactive with oxidizing agents, acids, and alkalis), and Specific hazard is not insignificant.","Section I. Chemical Product and Company Identification, Section II. Composition and Information on Ingredients, Section X. Stability and Reactivity",Fire Hazard 的 rating 不是 2* 是 1
T,T,What is the signal word used for the product?,Information not available in the provided context,N/A,
T,T,What are the hazard statements related to the product?,"The product is stable. However, it reacts with oxidizing agents, acids, and alkalis. May release COx, smoke, and irritating vapours when heated to decomposition.",Section X. Stability and Reactivity,
T,T,What precautions should be taken while handling the product?,"For handling, wear appropriate chemically protective gloves. When handling hot product, ensure gloves are heat resistant and insulated. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Wear appropriate clothing to prevent skin contact. As a minimum long sleeves and trousers should be worn. Eye protection (i.e., safety glasses, safety goggles and/or face shield) should be determined based on conditions of use.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection",
T,T,What are the first aid measures in case of inhalation?,"Evacuate the victim to a safe area as soon as possible. If the victim is not breathing, perform artificial respiration. Allow the victim to rest in a well ventilated area. Seek medical attention.",Section IV. First Aid Measures,
T,T,What are the first aid measures in case of skin contact?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap.  Seek medical attention.,Section IV. First Aid Measures,
T,T,What are the first aid measures in case of eye contact?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open. Seek medical attention.",Section IV. First Aid Measures,
T,T,What are the first aid measures in case of ingestion?,DO NOT induce vomiting because of danger of aspirating liquid into lungs.  Seek medical attention.,Section IV. First Aid Measures,
T,T,What are the suitable extinguishing media for a fire involving the product?,"SMALL FIRE: Use DRY chemicals, CO2, water spray or foam. LARGE FIRE: Use water spray, fog or foam. DO NOT use water jet.",Section V. Fire-fighting Measures,
