Source(T/F),Answer(T/F),Question,Answer,Source,Note
T,T,What is the product identifier?,"Product Name: ANTI-FREEZE, W269",Section I. Chemical Product and Company Identification,
T,T,When was the Safety Data Sheet issued?,7/3/2001,"Section I. Identification, Section XV. Regulatory Information",
T,T,What is the product description?,ANTIFREEZE,Section I. Chemical Product and Company Identification,
T,T,Who is the manufacturer of the product?,Petro-Canada,Section I. Chemical Product and Company Identification,
F,F,What is the emergency telephone number for the product?,"For Western Canada, telephone: 403-296-4158; For Ontario & Central Canada, telephone: 1-800-668-0220; For Quebec & Eastern Canada, telephone: 514-640-8308",Section XV. Regulatory Information and Section I. Identification,抓錯電話號碼
T,T,What are the hazard classifications associated with the product?,"Health Hazard, Fire Hazard, Reactivity","Section I. Chemical Product and Company Identification, Section III. Hazards Identification, Section X. Stability and Reactivity",
F,F,What is the signal word used for the product?,EXTREMELY DANGEROUS,"Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection",抓錯文字
T,T,What are the hazard statements related to the product?,"The product has hazard statements related to fire, reactivity, health, environmental, physical hazards. Specifically, it is classified as a fire hazard (1), with reactivity (0) and personal protection required (H). The product is also slightly hazardous in case of skin contact, inhalation, and eye contact, extremely dangerous in case of ingestion, and may release COx, smoke, and irritating vapors when heated.","Section 1: Identification, Section 2: Hazards Identification, Section X: Stability and Reactivity",
T,T,What precautions should be taken while handling the product?,"When handling the product, wear appropriate chemically protective gloves. If handling hot product, ensure gloves are heat resistant and insulated. Wear appropriate footwear to prevent product from coming in contact with feet and skin. For normal application, special ventilation is not necessary; however, if user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit. Ensure that eyewash station and safety shower are close to work-station. Wear appropriate clothing to prevent skin contact, as a minimum long sleeves and trousers should be worn. Eye protection (i.e., safety glasses, safety goggles, and/or face shield) should be determined based on conditions of use. If product is used in an application where splashing may occur, the use of safety goggles and/or a face shield should be considered.",Section VII. Handling and Storage; Section VIII. Exposure Controls/Personal Protection,
F,F,What are the first aid measures in case of inhalation?,Information not available in the provided context,N/A,沒找到資料
