,Source(T/F),Answer(T/F),Question,Answer,Source,Notes
0,T,T,['What is the product identifier?'],['Trade name / Article No: KLEIBERIT 826.0'],['1.1. Product identifier'],
1,T,T,['When was the Safety Data Sheet issued?'],['08/15/2016'],['Page 1/6 Safety Data Sheet acc. to OSHA HCS Printing date'],
2,F,T,['What is the product description?'],"[""KLEIBERIT 826.0 (Contd. of page 1) 43.0 Composition/information on ingredients · Dangerous components: · % Registry-No's Identification / Classification GHS-CLP 25322-68-3polyethylene glycol >99% ""]",['Composition/information on ingredients'],
3,T,T,['Who is the manufacturer of the product?'],"['KLEBCHEMIE KLEIBERIT Adhesives USA Inc., M.G.Becker GmbH + Co. KG']",['1.3. Details of the supplier of the safety data sheet · Manufacturer/Supplier:'],
4,T,T,['What is the emergency telephone number for the product?'],"['1-800-424-9300 (CHEMTREC), 1-800-451-1403 (SARA-HOTLINE)']",['1.4. Emergency telephone number: '],
5,T,T,['What are the hazard classifications associated with the product?'],"['This material is not considered as hazardous by the OSHA Hazard Communication Standard (29 CFR 1910.1200), NFPA-ratings: 01 0Health = 0, Fire = 1, Reactivity = 0, HMIS-ratings: HEALTH FIRE REACTIVITY 0 1 0Health = 0, Fire = 1, Reactivity = 0']",['Hazard(s) identification'],
6,T,T,['What is the signal word used for the product?'],['Void'],['2.2. Label elements'],
7,T,T,['What are the hazard statements related to the product?'],['Void'],['Hazard statements Void · Hazardous Material (US) This material is not considered as hazardous by the OSHA Hazard Communi cation Standard (29 CFR 1910.1200) None · NFPA-ratings (scale 0 - 4) - USA: 01 0Health = 0 Fire = 1 Reactivity = 0 · HMIS-ratings (scale 0 - 4) - USA: HEALTH FIRE REACTIVITY 0 1 0Health = 0 Fire = 1 Reactivity = 0'],
8,T,T,['What precautions should be taken while handling the product?'],['No special measures required.'],['Handling: 7.1. Precautions for safe handling'],
9,T,T,['What are the first aid measures in case of inhalation?'],['Supply fresh air; consult doctor in case of complaints.'],['4.1. Description of first aid measures'],
10,T,T,['What are the first aid measures in case of skin contact?'],['Generally the product does not irritate the skin.'],['First-aid measures · 4.1. Description of first aid measures · After skin contact:'],
11,T,T,['What are the first aid measures in case of eye contact?'],['Rinse opened eye for several minutes under running water.'],['4.1. Description of first aid measures'],
12,T,T,['What are the first aid measures in case of ingestion?'],['Rinse out mouth with plenty of water. Rinse out mouth and then drink plenty of water. Seek medical treatment.'],['First-aid measures · 4.1. Description of first aid measures'],
13,T,T,['What are the suitable extinguishing media for a fire involving the product?'],"['CO2, extinguishing powder or water spray.']",['Fire-fighting measures · 5.1. Extinguishing media'],
14,T,T,['What are the special hazards arising from the substance during a fire?'],['No further relevant information available.'],['5.2. Special hazards arising from the substance or mixture'],
15,T,T,['Are there any special fire handling procedures required for the product?'],"['Suitable extinguishing agents: CO2, extinguishing powder or water spray. Fight larger fires with water spray or alcohol resistant foam.']","['5.1. Extinguishing media, 5.3. Advice for firefighters']",
16,T,T,"['How should accidental releases, spill, or leak of the product be handled?']","['Absorb with liquid-binding material (sand, diatomite, acid binders, universal binders, sawdust).']",['Accidental release measures'],
17,T,T,['What precautions should be taken for safe handling and storage of the product?'],['No special measures required for safe handling. Keep container tightly closed for storage.'],"['Handling: 7.1. Precautions for safe handling, Storage: Requirements to be met by storerooms and receptacles']",
18,T,T,['What are the exposure controls and personal protection measures recommended for the product?'],"['Protective gloves, Goggles recommended during refilling.']",['Exposure controls/personal protection'],
