,Question,Answer,Source
0,['What is the product identifier?'],['Product Name: NAPA DUTY DOT 3 BRAKE FLUID'],['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
1,['When was the Safety Data Sheet issued?'],"['March 5, 2014']","['Issue Date: March 5, 2014']"
2,['What is the product description?'],['Brake Fluid'],['General Use']
3,['Who is the manufacturer of the product?'],"['Warren Unilube, Inc.']",['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
4,['What is the emergency telephone number for the product?'],['1-800-424-9300'],['24-HOUR EMERGENCY NUMBER – CHEMTREC']
5,['What are the hazard classifications associated with the product?'],"['Acute toxicity, dermal (Category 5) Acute toxicity, oral (Category 4) Skin Irritation (Category 3) Serious eye damage (Category 1) Reproductive toxicity (Category 2)']",['GHS Classification and Hazard Statements']
6,['What is the signal word used for the product?'],['WARNING'],['Signal Word']
7,['What are the hazard statements related to the product?'],['H302 Harmful if swallowed H313 May be harmful in contact with skin H316 Causes mild skin irritation H318 Causes serious eye damage H361 Suspected of damaging fertility or the unborn child'],['Hazard Statements']
8,['What precautions should be taken while handling the product?'],"['Wear protective eyeglasses or chemical safety goggles, and wear chemically protective gloves, boots, aprons, and gauntlets to prevent prolonged or repeated skin contact.']","['EYE PROTECTION, SKIN PROTECTION']"
9,['What are the first aid measures in case of inhalation?'],"['If inhalation occurs, remove victim to fresh air. If not breathing, give artificial respiration. If breathing is difficult, give oxygen. Consult a physician.']",['INHALATION']
10,['What are the first aid measures in case of skin contact?'],"['Wash with plenty of soap and water. If skin irritation occurs, get medical advice / attention.']","['SKIN: Wash with plenty of soap and water. If skin irritation occurs, get medical advice / attention.']"
11,['What are the first aid measures in case of eye contact?'],"['Wear protective eyeglasses or chemical safety goggles, per OSHA eye-and face-protection regulations (29 CFR 1910.133).']",['EYE PROTECTION']
12,['What are the first aid measures in case of ingestion?'],['Never give anything by mouth to an unconscious person. Rinse mouth with water. Consult a physician.'],['INGESTION']
13,['What are the suitable extinguishing media for a fire involving the product?'],"['Dry chemical, foam, and carbon dioxide.']","['FIRE-FIGHTING MEASURES, SUITABLE EXTINGUISHING MEDIA']"
14,['What are the special hazards arising from the substance during a fire?'],"['Carbon monoxide, carbon dioxide, and unidentified organic compounds.']",['HAZARDOUS COMBUSTION PRODUCTS']
15,['Are there any special fire handling procedures required for the product?'],['Evacuate area. Do not use direct water stream to extinguish fires. Do not release runoff from fire control methods to sewers or waterways.'],['FIGHTING PROCEDURES: Evacuate area. Do not use direct water stream to extinguish fires. Do not release runoff from fire control methods to sewers or waterways.']
16,"['How should accidental releases, spill, or leak of the product be handled?']",['Contain and recover liquid when possible. Collect liquid in appropriate container or absorb with an inert material (such as vermiculite or dry sand) and place in chemical waste container. Do not use combustible materials such as sawdust for the cleanup.'],"['EMERGENCY PROCEDURES: SMALL SPILLS, LARGE SPILLS']"
17,['What precautions should be taken for safe handling and storage of the product?'],"['Store in a cool dry, ventilated area. Follow OSHA respirator regulations (29 CFR 1910.134) and, if necessary, wear a MSHA / NIOSH approved respirator.']",['SECTION 7: HANDLING AND STORAGE; SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION']
18,['What are the exposure controls and personal protection measures recommended for the product?'],"['Ventilation should be provided by general or local exhaust ventilation systems to maintain airborne concentrations below OSHA PELs. Controls should be such that adequate ventilation is provided and provide general or local exhaust ventilation systems. Respiratory protection should be used, including MSHA/NIOSH-approved respirators, and a written respirator protection program should include medical certification, training, fit testing, periodic environmental monitoring, maintenance, inspection, cleaning, and convenient, sanitary storage areas.']","['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS, SECTION 9: RESPIRATORY PROTECTION']"
19,['What are the physical and chemical properties of the product?'],['Physical state: Liquid. Appearance and color: Yellow to amber. Odor: Mild. Flash point: >275°F (>135°C). Upper/lower flammbility or explosive limits: not available. Auto ignition temperature: not available. Decomposition temperature: not available. Vapor pressure: not available. Odor threshold: not available.'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],['The product is stable under normal storage and handling conditions at room temperature in closed containers.'],['SECTION 10: STABILITY AND REACTIVITY']
21,['What are the possible hazardous decomposition products of the product?'],"['Carbon monoxide, carbon dioxide and unknown organic compounds.']",['SECTION 10: STABILITY AND REACTIVITY']
22,['What is the toxicological information available for the product?'],"['Triethylene Glycol Monomethyl Ether ORAL LD50 (rat): 11,842 mg/kg DERMAL LD50 (rabbit): 7,441 mg/kg; Tetraethylene Glycol Monobutyl Ether ORAL LD50 (rat): 5,300 mg/kg DERMAL LD50 (rabbit): 3,505 mg/kg; Diethylene Glycol Monobutyl Ether ORAL LD50 (rat): 5,660']",['ACUTE TOXICITY VALUES']
23,['What are the safety precautions and handling instructions for using the product?'],"['Wear protective eyeglasses or chemical safety goggles, follow OSHA eye-and face-protection regulations (29 CFR 1910.133), and avoid contact with spilled material.']",['EYE PROTECTION']
24,['What are the potential hazards associated with the product?'],"['The product may cause nausea and vomiting, abdominal discomfort, diarrhea, dizziness, and drowsiness if swallowed. It may also cause mild to serious eye irritation, skin irritation, respiratory tract irritation, and can be toxic to kidneys, liver, central nervous system, heart, and reproductive organs.']","['Acute Effects, Inhalation, Ingestion, Skin Contact, Eye Contact']"
25,['What are the specific health effects or risks associated with exposure to the product?'],"['Target Organ Effect: Product is toxic to kidneys, liver, central nervous system and heart. Metabolic products of diethylene glycol produce acidosis and organ toxicity effects; Acute Toxicity Values indicate harm from ingestion, inhalation, or dermal exposure.']","['TOXICOLOGICAL INFORMATION, ACUTE TOXICITY VALUES, TARGET ORGAN EFFECTS']"
26,['What are the emergency procedures in case of inhalation of the product?'],"['Remove victim to fresh air. If not breathing, give artificial respirations. If breathing is difficult, give oxygen. Consult a physician.']",['INHALATION']
27,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with plenty of soap and water. If skin irritation occurs, get medical advice / attention.']",['SKIN']
28,['What are the emergency procedures in case of eye contact with the product?'],"['Wear protective eyeglasses or chemical safety goggles. If skin irritation occurs, get medical advice / attention.']",['EYE PROTECTION']
29,['What are the emergency procedures in case of ingestion of the product?'],['Contain and recover liquid when possible. Collect liquid in appropriate container or absorb with an inert material (such as vermiculite or dry sand) and place in chemical waste container. DO NOT wait for symptoms to develop before getting treatment.'],"['EMERGENCY PROCEDURES : SMALL SPILLS, INGESTION']"
30,['What is the waste disposal method for the product?'],"['Dispose of whatever cannot be saved for recovery or recycling in an approved waste facility in accordance with Federal, State/Provincial and Local requirements.']",['SECTION 13: DISPOSAL CONSIDERATIONS']
31,['Are there any specific storage requirements or conditions for safely storing the product?'],"['Store in a cool dry, ventilated area.']","['STORAGE REQUIREMENTS: Store in a cool dry, ventilated area.']"
32,['What is the shelf life of the product?'],['not available'],['MELTING POINT / FREEZING POINT: not available']
33,['What are the composition and ingredients of the product?'],"['Triethylene Glycol Monomethyl Ether 112-77-3, Triethylene Glycol Monoethyl Ether 112-50-5, Triethylene Glycol Monobutyl Ether 143-22-6, Tetrathylene Glycol Monobutyl Ether 1559-34-8, Polyethylene Glycol 25322-68-3, Diethylene Glycol 111-46-6, Diethylene Glycol Monobutyl Ether 112-34-5.']",['SECTION 3: COMPOSITION / INFORMATION ON INGREDIENTS']
34,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],['Hazardous polymerization will not occur. Hazardous polymerization by-products: Hazardous polymerization will not occur.'],['SECTION 10: STABILITY AND REACTIVITY']
35,['What is the odor of the product?'],['Mild'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
36,['What is the boiling point of the product?'],['480°F (248.9°C)'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
37,['Is the product flammable?'],"['The product has an initial boiling point and a boiling range of 480°F (248.9°C), with no specified lower or upper flammability limits.']",['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
38,['What is the solubility of the product?'],['soluble'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
39,"['Is the product stable under certain conditions, and are there any potential decomposition products?']",['Stable at room temperature in closed containers under normal storage and handling conditions.'],['SECTION 10: STABILITY AND REACTIVITY']
40,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']","['Provide general or local exhaust ventilation systems to maintain airborne concentrations below OSHA PELs, and wear a MSHA/NIOSH approved respirator based on its suitability for given working conditions and level of airborne contamination.']","['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS, SECTION 9: RESPIRATORY PROTECTION']"
41,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],"['Whatever cannot be saved for recovery or recycling should be disposed of in an approved waste facility in accordance with Federal, State/Provincial and Local requirements.']",['SECTION 13: DISPOSAL CONSIDERATIONS']
42,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],['3% of the composition of this material has been withheld as a trade secret.'],['SECTION 4: FIRST AID MEASURE']
