,Source(T/F),Answer(T/F),Question,Answer,Source
0,T,T,['What is the product identifier?'],['Product Name: NAPA DUTY DOT 3 BRAKE FLUID'],['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
1,T,T,['When was the Safety Data Sheet issued?'],"['March 5, 2014, April 2, 2015']","['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION, Issue Date: March 5, 2014 Revised: April 2, 2015']"
2,T,T,['What is the product description?'],['NAPA DUTY DOT 3 BRAKE FLUID'],['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
3,T,T,['Who is the manufacturer of the product?'],"['Warren Unilube, Inc.']",['SECTION 1: PRODUCT AND COMPANY IDENTIFICATION']
4,T,T,['What is the emergency telephone number for the product?'],['1-800-424-9300'],['24-HOUR EMERGENCY NUMBER – CHEMTREC']
5,T,T,['What are the hazard classifications associated with the product?'],"['Acute toxicity, dermal (Category 5), Acute toxicity, oral (Category 4), Skin Irritation (Category 3), Serious eye damage (Category 1), Reproductive toxicity (Category 2)']",['GHS Classification and Hazard Statements']
6,T,T,['What is the signal word used for the product?'],['WARNING'],"['GHS Classification: Acute toxicity, dermal (Category 5) Acute toxicity, oral (Category 4) Skin Irritation (Category 3) Serious eye damage (Category 1) Reproductive toxicity (Category 2)']"
7,T,T,['What are the hazard statements related to the product?'],['H302 Harmful if swallowed H313 May be harmful in contact with skin H316 Causes mild skin irritation H318 Causes serious eye damage H361 Suspected of damaging fertility or the unborn child'],"['Hazard Statements, SECTION 1: PRODUCT AND COMPANY IDENTIFICATION, GHS Classification, and SDS – NAPA DOT 3 Brake Fluid']"
8,T,T,['What precautions should be taken while handling the product?'],"['Wear protective eyeglasses or chemical safety goggles, seek professional advice prior to respirator selection and use, wear chemically protective gloves, boot s, aprons and gauntlets, never eat, drink or smoke in work areas, practice good personal hygiene after using this material']","['HANDLING PRECAUTIONS, SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS, EYE PROTECTION']"
9,T,T,['What are the first aid measures in case of inhalation?'],"['Remove victim to fresh air. If not breathing, give artificial respiration. If breathing is difficult, give oxygen. Consult a physician.']","['INGHALATION: Remove victim to fresh air. If not breathin g, give artificial respir ation.']"
10,T,T,['What are the first aid measures in case of skin contact?'],"['If skin irritation occurs, get medical advice / attention.']",['SKIN: Wash with plenty of soap and water.']
11,F,F,['What are the first aid measures in case of eye contact?'],['Wear protective eyeglasses or chemical safety goggles.'],['EYE PROTECTION']
12,T,T,['What are the first aid measures in case of ingestion?'],['Never give anything by mouth to an unconscious person. Rinse mouth with water. Consult a physician.'],['INGESTION']
13,T,T,['What are the suitable extinguishing media for a fire involving the product?'],"['dry chemical, foam or carbon dioxide']",['FIRE-FIGHTING MEASURES / SUITABLE EXTINGUISHING MEDIA']
14,T,T,['What are the special hazards arising from the substance during a fire?'],"['Carbon monoxide, carbon dioxide, and unidentified organic compounds']","['HAZARDOUS COMBUSTION PRODUCTS: Carbon monoxide, carbon dioxide, and unidentified organic compounds.']"
15,T,T,['Are there any special fire handling procedures required for the product?'],['Evacuate area. Do not use direct water stream to extinguish fires. Do not release runoff from fire control methods to sewers or waterways.'],"['SPECIAL FIRE FIGHTING MEASURES, SPECIAL PROTECTIVE EQUIPMENT AND PRECAUTIONS FOR FIRE FIGHTERS']"
16,T,T,"['How should accidental releases, spill, or leak of the product be handled?']",['Contain and recover liquid when possible. Collect liquid in appropriate container or absorb with an inert material (such as vermiculite or dry sand) and place in chemical waste container. Do not use combustible materials such as sawdust for the cleanup.'],"['EMERGENCY PROCEDURES: SMALL SPILLS, EMERGENCY PROCEDURES: LARGE SPILLS']"
