,Question,Answer,Source
0,['What is the product identifier?'],['Product identifier 3M Hi-Strength Spray Adhesive 90'],['SECTION 1: Identification']
1,['When was the Safety Data Sheet issued?'],"['January 5, 2017']",['SECTION 1: Identification 1.1. Product identifier']
2,['What is the product description?'],"['Adhesive, Hi-Strength Aerosol Adhesive']",['Section 1.2. Recommended use and restrictions on use']
3,['Who is the manufacturer of the product?'],['MANUFACTURER: 3M'],['1.3. Supplier’s details']
4,['What is the emergency telephone number for the product?'],['1-800-364-3577 or (651) 737-6501'],"['SECTION 1: Identification, 1.4.']"
5,['What are the hazard classifications associated with the product?'],['Flammable Aerosol: Category 1. Gas Under Pressure: Liquefied gas. Serious Eye Damage/Irritation: Category 2B. Specific Target Organ Toxicity (single exposure): Category 1. Specific Target Organ Toxicity (single exposure): Category 3.'],['SECTION 2: Hazard identification']
6,['What is the signal word used for the product?'],['Danger'],"['SECTION 1: Identification, SECTION 2: Hazard identification']"
7,['What are the hazard statements related to the product?'],['Hazard Statements: Extremely flammable aerosol. Contains gas under pressure; may explode if heated. Causes eye irritation. May cause respiratory irritation. May cause drowsiness or dizziness. May displace oxygen and cause rapid suffocation. Causes damage to organs: cardiovascular system'],['2.1 Hazard classification']
8,['What precautions should be taken while handling the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.)']",['7.1. Precautions for safe handling']
9,['What are the first aid measures in case of inhalation?'],['Remove person to fresh air. Get medical attention.'],['SECTION 4: First aid measures 4.1. Description of first aid measures']
10,['What are the first aid measures in case of skin contact?'],"['Wash with soap and water. If signs/symptoms develop, get medical attention.']","['4.1. Description of first aid measures, 4.2. Most important symptoms and effects, both acute and delayed']"
11,['What are the first aid measures in case of eye contact?'],['Flush with large amounts of water. Remove contact lenses if easy to do. Continue rinsing. If eye irritation persists: Get medical advice/attention.'],['4.1. Description of first aid measures Eye Contact']
12,['What are the first aid measures in case of ingestion?'],"['Signs/symptoms may include abdominal pain, stomach upset, nausea, vomiting and diarrhea. May cause additional health effects (see below).']",['4.1. Description of first aid measures 4.3. Indication of any immediate medical attention and special treatment required']
13,['What are the suitable extinguishing media for a fire involving the product?'],"['Use dry chemical, carbon dioxide, or foam to extinguish fire.']","['6.1 Personal precautions, protective equipment and emergency procedures']"
14,['What are the special hazards arising from the substance during a fire?'],['Closed containers exposed to heat from fire may build pressure and explode.'],"['5.2 Special hazards arising from the substance or mixture, 6.1 Personal precautions, protective equipment and emergency procedures']"
15,['Are there any special fire handling procedures required for the product?'],['Use a fire fighting agent suitable for the surrounding fire.'],['5.1 Suitable extinguishing media']
16,"['How should accidental releases, spill, or leak of the product be handled?']","['If possible, seal leaking container. Place leaking containers in a well-ventilated area, preferably an operating exhaust hood, or if necessary outdoors on an impermeable surface until appropriate packaging for the leaking container or its contents is available.']",['6.3. Methods and material for containment and cleaning up']
17,['What precautions should be taken for safe handling and storage of the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.). Store in a well-ventilated place. Keep container tightly closed. Protect from sunlight. Do not expose to temperatures exceeding 50C/122F.']","['SECTION 7: Handling and storage, SECTION 3: Composition/information on ingredients']"
18,['What are the exposure controls and personal protection measures recommended for the product?'],"['Engineering controls, Personal protective equipment (PPE), including eye/face protection, gloves and/or protective clothing, respiratory protection']","['8.2.1. Engineering controls, 8.2.2. Personal protective equipment (PPE)']"
19,['What are the physical and chemical properties of the product?'],"['General Physical Form: Gas Specific Physical Form: Aerosol Odor, Color, Grade: Clear sweet fruity odor Evaporation rate 1.9 [Ref Std: ETHER=1] Flammability (solid, gas) Flammable Aerosol: Category 1. Flammable Limits(LEL) No Data Available Flammable Limits(UEL) No Data Available Vapor Pressure No Data Available Vapor Density 2.97 [Ref Std: AIR=1] Density 0.726 g/ml Specific Gravity 0.726 [Ref Std: WATER=1] Solubility in Water Nil Solubility- non-water No Data Available Partition coefficient: n-octanol/ water No Data Available Autoignition temperature No Data Available Decomposition temperature Not Applicable Viscosity Not Applicable Average particle size No Data Available Bulk density No Data Available Hazardous Air Pollutants 0 % weight [Test Method: Calculated] Molecular weight No Data Available Volatile Organic Compounds <=55 % [ Test Method: calculated per CARB title 2]']",['SECTION 9: Physical and chemical properties']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],['Chemical stability: Stable. Possibility of hazardous reactions: Hazardous polymerization will not occur.'],"['Section 10.2, Section 10.3']"
21,['What are the possible hazardous decomposition products of the product?'],['None known. Refer to section 5.2 for hazardous decomposition products during combustion.'],['SECTION 11: Toxicological information']
22,['What is the toxicological information available for the product?'],"['Acute Toxicity, Central Nervous System (CNS) Depression, Gastrointestinal Irritation, Skin Contact, Respiratory Tract Irritation']",['Section 2.3. Hazards not otherwise classified and Section 11.1. Information on Toxicological effects']
23,['What are the safety precautions and handling instructions for using the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.)']",['7.1. Precautions for safe handling and 7.2. Conditions for safe storage including any incompatibilities']
24,['What are the potential hazards associated with the product?'],"['Extremely flammable aerosol, Contains gas under pressure; may explode if heated, Causes eye irritation, May cause respiratory irritation, May cause drowsiness or dizziness, May displace oxygen and cause rapid suffocation']",['Hazard Statements in Section 2.1']
