,Question,Answer,Source
0,['What is the product identifier?'],['BioRem-2000 Surface Cleaner'],['1. Product and Company Identification']
1,['When was the Safety Data Sheet issued?'],['5/1/2015'],['Prepared by: J. Pickett Approved by: C. Matthews Approval Date of Issue: 5/1/2015']
2,['What is the product description?'],['Amber liquid'],['2. Product and Company Identification']
3,['Who is the manufacturer of the product?'],"['{""answer"": Emergency Telephone Clift Industries, Inc."", ""source"": Product and Company Identification}\n']",[JSONDecodeError('Expecting value: line 1 column 12 (char 11)')]
4,['What is the emergency telephone number for the product?'],['800-424-9300'],['1. Product and Company Identification']
5,['What are the hazard classifications associated with the product?'],"['Acute toxicity, Oral, Dermal, Inhalation Category 5 Eye Irritation, Category 2B']",['Hazards Identification Classification']
6,['What is the signal word used for the product?'],['Warning!'],['2. Hazards Identification']
7,['What are the hazard statements related to the product?'],"['H303+H313 +H333 H320Maybe harmful if swallowed, in contact with skin or if inhaled. Causes eye irritation.']",['Hazards Identification']
8,['What precautions should be taken while handling the product?'],['Avoid contact with skin and eyes. Do not swallow. Wash hands thoroughly after handling.'],['7. Handling and Storage - Handling Precautions']
9,['What are the first aid measures in case of inhalation?'],"['Not normally required. Move to fresh air. If symptoms persist, get medical attention.']",['4. First Aid Measures']
10,['What are the first aid measures in case of skin contact?'],"['Wash with soap and water. If irritation persists, contact a physician.']",['4. First Aid Measures Skin Contact : ']
11,['What are the first aid measures in case of eye contact?'],"['Flush eyes for fifteen minutes with water. If irritation persists, contact a physician.']",['4. First Aid Measures Eye Contact :']
12,['What are the first aid measures in case of ingestion?'],['Not normally required. Contact a physician if ingested.'],['Ingestion : Not normally required. Contact a physician if ingested.']
13,['What are the suitable extinguishing media for a fire involving the product?'],"['Water spray, dry chemical or carbon dioxide (unused form); That which is compatible to liquid(s) absorbed (used form)']",['5. Fire Fighting Measures; 5. Fire Fighting Measures']
14,['What are the special hazards arising from the substance during a fire?'],['Carbon monoxide and/or carbon dioxide.'],['Fire Fighting Measures']
15,['Are there any special fire handling procedures required for the product?'],"['{""answer"": None required, ""source"": Special Fire Fighting Procedures}\n']",[JSONDecodeError('Expecting value: line 1 column 12 (char 11)')]
16,"['How should accidental releases, spill, or leak of the product be handled?']","['If material is unused, collect and recover for reuse. Wear protective equipment. Not a listed hazardous waste.']",['Accidental Release Measures Spill or Leak Procedures']
17,['What precautions should be taken for safe handling and storage of the product?'],"['Avoid contact with skin and eyes. Do not swallow. Wash hands thoroughly after handling. Store in cool, dry area. Prevent product from freezing. Keep out of reach of children.']",['7. Handling and Storage']
18,['What are the exposure controls and personal protection measures recommended for the product?'],['Use adequate ventilation to keep airborne concentrations low. Eyes: Safety goggles or glass with side shields Respirator: NIOSH/MSHA approved respirator when ventilation is inadequate. Gloves: Impervious gloves.'],"['Exposure Controls/Personal Protection Engineering Controls, PERSONAL PROTECTION']"
19,['What are the physical and chemical properties of the product?'],['Amber liquid; pH: 7; Melting Point/Freezing Point: 32º F (0º C); Initial Boiling Point and Range: 212º F (100º C); Flash Point: None; Evaporation Rate: Not established; Flammable Limits: Not applicable.'],['9. Physical/Chemical Characteristics']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],['This is a stable material. Reacts with sodium hypochlorite or calcium hypochlorite. Conditions to Avoid: Excessive heat.'],"['Stability and Reactivity Data, Conditions of Reactivity, Conditions to Avoid']"
21,['What are the possible hazardous decomposition products of the product?'],['Carbon monoxide and/or carbon dioxide'],['5. Fire Fighting Measures']
22,['What is the toxicological information available for the product?'],['Not established. IRAC: None National Toxicology Program: None OSHA: None California Prop 65: No listed ingredient'],"['11. Toxicological Data, CERCLA (Comprehensive Environmental Response Compensation and Liability Act): No Reportable Quantity']"
23,['What are the safety precautions and handling instructions for using the product?'],['Avoid contact with skin and eyes. Do not swallow. Wear protective equipment. Use adequate ventilation to keep airborne concentrations low. Eyes: Safety goggles or glass with side shields Respirator: NIOSH/MSHA approved respirator when ventilation is inadequate. Gloves: Impervious gloves.'],"['7. Handling and Storage, 8. Exposure Controls/Personal Protection']"
