,Source(T/F),Answer(T/F),Question,Answer,Source,Notes
0,T,T,['What is the product identifier?'],['BioRem-2000 Surface Cleaner'],['1. Product and Company Identification'],
1,T,T,['When was the Safety Data Sheet issued?'],['5/1/2015'],['Prepared by: J. Pickett Approved by: C. Matthews Approval Date of Issue:'],
2,T,T,['What is the product description?'],['Amber liquid'],['2. Product and Company Identification'],
3,T,F,['Who is the manufacturer of the product?'],"['Emergency Telephone Clift Industries, Inc.']",['Product and Company Identification'],"有回答到正確答案，但前面有「Emergency Telephone」。應該是PDF轉文字時文字的位子沒處理好，Chunk 1關於這一段的內容為""Manufacturer: Emergency Telephone"""
4,T,T,['What is the emergency telephone number for the product?'],['800-424-9300'],['Product and Company Identification'],"Chunk 1 內有關這個題目的內容為""Emergency Telephone Clift Industries, Inc. CHEMTREC PO Box 471578 800-424-9300 """
5,T,T,['What are the hazard classifications associated with the product?'],"['Acute toxicity, Category 5, Eye Irritation, Category 2B']",['Hazar ds Identification'],
6,T,T,['What is the signal word used for the product?'],['Warning!'],['Hazard Statement'],
7,T,T,['What are the hazard statements related to the product?'],['H303+H313 +H333 H320'],['Hazards Identification'],
8,T,T,['What precautions should be taken while handling the product?'],['Avoid contact with skin and eyes. Do not swallow. Wash hands thoroughly after handling.'],['Handling Precautions'],
9,T,T,['What are the first aid measures in case of inhalation?'],"['Not normally required. Move to fresh air. If symptoms persist, get medical attention.']",['4. First Aid Measures'],
10,T,T,['What are the first aid measures in case of skin contact?'],"['Wash with soap and water. If irritation persists, contact a physician.']",['4. First Aid Measures Skin Contact :'],
11,T,T,['What are the first aid measures in case of eye contact?'],"['Flush eyes for fifteen minutes with water. If irritation persists, contact a physician.']",['4. First Aid Measures Eye Contact :'],
12,T,T,['What are the first aid measures in case of ingestion?'],['Do NOT induce vomiting. Contact a physician if ingested.'],['Ingestion : Not normally required. Contact a physician if ingested.'],
13,T,T,['What are the suitable extinguishing media for a fire involving the product?'],"['Water spray, dry chemical or carbon dioxide.']",['5. Fire Fighting Measures'],
14,T,T,['What are the special hazards arising from the substance during a fire?'],['Carbon monoxide and/or carbon dioxide.'],['5. Fire Fighting Measures'],回答的是燃燒後的產物，但是是危險產物
15,T,T,['Are there any special fire handling procedures required for the product?'],['None required'],['Special Fire Fighting Procedures'],
16,T,T,"['How should accidental releases, spill, or leak of the product be handled?']","['If material is unused, collect and recover for reuse. Wear protective equipment.']",['Accidental Release Measures'],
17,T,T,['What precautions should be taken for safe handling and storage of the product?'],"['Avoid contact with skin and eyes. Do not swallow. Wash hands thoroughly after handling. Store in cool, dry area. Prevent product from freezing. Keep out of reach of children.']","['Handling Precautions, Storage Precautions']",
18,T,T,['What are the exposure controls and personal protection measures recommended for the product?'],['Use adequate ventilation to keep airborne concentrations low. PERSONAL PROTECTION Eyes : Safety goggles or glass with side shields Respirator : NIOSH/MSHA approved respirator when ventilation is inadequate. Gloves : Impervious gloves.'],['Exposure Controls/Personal Protection Engineering Controls'],
19,T,T,['What are the physical and chemical properties of the product?'],['Amber liquid; Odor: Bland; pH: 7; Melting Point/Freezing Point: 32º F (0º C); Initial Boiling Point and Range: 212º F (100º C); Flash Point: None; Evaporation Rate: Not established; Flammable Limits: Not applicable; Conditions of Flammability: Non-flammable'],['9. Physical/Chemical Characteristics'],
20,T,T,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],['This is a stable material'],['10. Stability and Reactivity Data'],
21,T,T,['What are the possible hazardous decomposition products of the product?'],['Carbon monoxide and/or carbon dioxide'],['5. Fire Fighting Measures'],
22,T,T,['What is the toxicological information available for the product?'],['LD50: Not established. LC50: Not established. Carcinogenicity: IRAC: None National Toxicology Program: None OSHA: None California Prop 65: No listed ingredient Reproduction Toxicity: Not available Teratogenicity: Not available Mutagenicity: Not available'],['11. Toxicological Data'],
23,T,T,['What are the safety precautions and handling instructions for using the product?'],"['Wear protective equipment, avoid contact with skin and eyes, do not swallow, wash hands thoroughly after handling, store in cool dry area, prevent product from freezing.']","['Handling Precautions, Storage Precautions, Handling and Storage']",
24,T,T,['What are the potential hazards associated with the product?'],"['Acute toxicity, Oral, Dermal, Inhalation Category 5 Eye Irritation, Category 2B, Maybe harmful if swallowed, in contact with skin or if inhaled, Causes eye irritation.']",['Hazards Identification'],
25,T,T,['What are the specific health effects or risks associated with exposure to the product?'],"['H303+H313 +H333 H320 - Maybe harmful if swallowed, in contact with skin or if inhaled. Causes eye irritation.']",['Hazards Identification'],
26,T,T,['What are the emergency procedures in case of inhalation of the product?'],"['Move to fresh air. If symptoms persist, get medical attention.']",['4. First Aid Measures'],
27,T,T,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with plenty of soap and water. If irritation persists, contact a physician.']",['4. First Aid Measures'],
28,T,T,['What are the emergency procedures in case of eye contact with the product?'],"['Flush eyes for fifteen minutes with water. If irritation persists, contact a physician.']",['4. First Aid Measures'],
29,T,T,['What are the emergency procedures in case of ingestion of the product?'],['Rinse mouth. Do NOT induce vomiting.'],['First Aid Measures'],
30,T,T,['What is the waste disposal method for the product?'],"['Observe all federal, state and local regulations.']",['Disposal Considerations'],
31,T,T,['Are there any specific storage requirements or conditions for safely storing the product?'],"['Store in cool, dry area. Prevent product from freezing. Keep out of reach of children.']",['Handling and Storage'],
32,T,T,['What is the shelf life of the product?'],['3 years'],['Handling and Storage'],
33,T,T,['What are the composition and ingredients of the product?'],"['Aqua (70-90%), Microbes Proprietary (1-5%), Enzymes Proprietary (1-5%), Cleaning Aid Proprietary (10-20%), Nutrients Proprietary (1-5%)']",['3. Composition/Information on Ingredients'],
34,T,T,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],"['Yes, reacts with sodium hypochlorite or calcium hypochlorite; incompatible materials: strong oxidants']","['Stability and Reactivity Data, Incompatible Materials']",
35,T,T,['What is the odor of the product?'],['Bland'],['9. Physical/Chemical Characteristics'],
36,T,T,['What is the boiling point of the product?'],['212º F (100º C)'],['9. Physical/Chemical Characteristics'],
37,T,T,['Is the product flammable?'],['Non-flammable'],['Conditions of Flammability : Non-flammable.'],
38,F,T,['What is the solubility of the product?'],['Soluble'],['10. Stability and Reactivity Data'],"chunk 5 中相關內容為""Relative Density (H2O =1): 1.079 Solubility in Water: Soluble VOC (g/L) : 0 10. Stability and Reactivity Data General"""
39,T,T,"['Is the product stable under certain conditions, and are there any potential decomposition products?']",['This is a stable material. It reacts with sodium hypochlorite or calcium hypochlorite. Hazardous decomposition: Not established. Will not occur.'],"['10. Stability and Reactivity Data, 11. Toxicological Data']",
40,T,T,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']",['Use adequate ventilation to keep airborne concentrations low. PERSONAL PROTECTION Eyes : Safety goggles or glass with side shields Respirator : NIOSH/MSHA approved respirator when ventilation is inadequate. Gloves : Impervious gloves.'],['8. Exposure Controls/Personal Protection Engineering Controls : Use adequate ventilation to keep airborne concentrations low.'],
41,T,T,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],"['Observe all federal, state and local regulations.']",['13. Disposal Considerations'],
42,T,T,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],"['Microbes Proprietary, Enzymes Proprietary, Cleaning Aid Proprietary, Nutrients Proprietary']",['3. Composition/Information on Ingredients'],
