,Source(T/F),Answer(T/F),Question,Answer,Source
0,T,T,['What is the product identifier?'],['Product identifier 3M Hi-Strength Spray Adhesive 90'],['SECTION 1: Identification 1.1.']
1,T,T,['When was the Safety Data Sheet issued?'],['01/05/17'],['SECTION 16: Other information']
2,T,T,['What is the product description?'],['Hi-Strength Spray Adhesive for bonding materials together with a strong adhesive bond.'],"[['SECTION 1: Identification', 'Product identifier']]"
3,T,T,['Who is the manufacturer of the product?'],['3M'],['1.3. Supplier’s details']
4,T,T,['What is the emergency telephone number for the product?'],['1-800-364-3577 or (651) 737-6501'],['Section 1.4 Emergency telephone number']
5,T,T,['What are the hazard classifications associated with the product?'],['Flammable Aerosol: Category 1. Gas Under Pressure: Liquefied gas. Serious Eye Damage/Irritation: Category 2B. Specific Target Organ Toxicity (single exposure): Category 1. Specific Target Organ Toxicity (single exposure): Category 3.'],['2.1. Hazard classification']
6,T,T,['What is the signal word used for the product?'],['Danger3M'],['Section 2: Hazard identification']
7,T,T,['What are the hazard statements related to the product?'],['Hazard Statements Extremely flammable aerosol. Contains gas under pressure; may explode if heated. Causes eye irritation. May cause respiratory irritation. May cause drowsiness or dizziness. May displace oxygen and cause rapid suffocation. Causes damage to organs: cardiovascular system'],['2.1. Hazard classification']
8,T,T,['What precautions should be taken while handling the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc).']","['Section 7: Handling and storage, Section 8: Exposure controls/personal protection']"
9,T,T,['What are the first aid measures in case of inhalation?'],['Remove person to fresh air. Get medical attention.'],['SECTION 4: First aid measures 4.1. Description of first aid measures']
10,T,T,['What are the first aid measures in case of skin contact?'],"['Wash with soap and water. If signs/symptoms develop, get medical attention.']",['Section 4: First aid measures 4.1. Description of first aid measures']
11,T,T,['What are the first aid measures in case of eye contact?'],['Flush with large amounts of water. Remove contact lenses if easy to do. Continue rinsing. If eye irritation persists: Get medical advice/attention.'],"['4.2 Most important symptoms and effects, both acute and delayed See Section 11.1. Information on toxicological effects.']"
12,T,T,['What are the first aid measures in case of ingestion?'],"['Rinse mouth. If you feel unwell, get medical attention.']",['4.1. Description of first aid measures: Ingestion section is not available but the information for ingestion is available in Section 11.1 and 11.2. Information on toxicological effects. 4.3. Indication of any immediate medical attention and special treatment required']
13,T,T,['What are the suitable extinguishing media for a fire involving the product?'],['Use dry chemical extinguishing media and water'],['6.3. Methods and material for containment and cleaning up and 7.1. Precautions for safe handling']
14,T,T,['What are the special hazards arising from the substance during a fire?'],['Closed containers exposed to heat from fire may build pressure and explode. Hazardous Decomposition or By-Products Substance Condition Carbon monoxide During Combustion Carbon dioxide During Combustion Irritant Vapors or Gases During Combustion'],['5.2 Special hazards arising from the substance or mixture']
15,T,T,['Are there any special fire handling procedures required for the product?'],"['Yes, use a fire fighting agent suitable for the surrounding fire and close containers exposed to heat from fire may build pressure and explode.']",['5.1. Suitable extinguishing media and 5.2. Special hazards arising from the substance or mixture']
16,T,T,"['How should accidental releases, spill, or leak of the product be handled?']",['Evacuate area. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Use only non-sparking tools. Ventilate the area with fresh air.'],"['6.1. Personal precautions, protective equipment and emergency procedures']"
17,T,T,['What precautions should be taken for safe handling and storage of the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc). Store in a well-ventilated place. Keep container tightly closed. Protect from sunlight. Do not expose to temperatures exceeding 50C/122F.']",['7.1 Precautions for safe handling and 7.2 Conditions for safe storage including any incompatibilities']
18,T,T,['What are the exposure controls and personal protection measures recommended for the product?'],"['Engineering controls: general dilution ventilation and/or local exhaust ventilation to control airborne exposures; Personal protective equipment (PPE): Indirect Vented Goggles, Gloves made from Nitrile Rubber, Respiratory protection']","['8.2.1. Engineering controls, 8.2.2. Personal protective equipment (PPE)']"
19,T,T,['What are the physical and chemical properties of the product?'],"['General Physical Form: Gas Specific Physical Form: Aerosol Odor, Color, Grade: Clear sweet fruity odor Odor threshold No Data Available pH No Data Available Melting point Not Applicable Boiling Point Not Applicable Flash Point -42.00 ºF [Test Method: Tagliabue Closed Cup] Evaporation rate 1.9 [Ref Std: ETHER=1] Flammability (solid, gas) Flammable Aerosol: Category 1.']",['SECTION 9: Physical and chemical properties 9.1. Information on basic physical and chemical properties']
20,T,T,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],['Stable. Hazardous polymerization will not occur.'],['10.2. Chemical stability 10.3. Possibility of hazardous reactions']
21,F,F,['What are the possible hazardous decomposition products of the product?'],['Refer to section 5.2 for hazardous decomposition products during combustion'],['SECTION 11: Toxicological information']
22,T,T,['What is the toxicological information available for the product?'],"['Acute Toxicity, Information on Toxicological effects, Central Nervous System (CNS) Depression, Respiratory Tract Irritation']","['Section 2.3, Section 11.1']"
23,T,T,['What are the safety precautions and handling instructions for using the product?'],"['Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other ignition source. Do not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.)']","['Section 7: Handling and storage, Section 7.1: Precautions for safe handling']"
24,T,T,['What are the potential hazards associated with the product?'],['Extremely flammable aerosol. Contains gas under pressure; may explode if heated. Causes eye irritation. May cause respiratory irritation. May cause drowsiness or dizziness. May displace oxygen and cause rapid suffocation.'],"['2.2. Label elements, 7.1. Precautions for safe handling']"
25,T,T,['What are the specific health effects or risks associated with exposure to the product?'],"['Mild Skin Irritation (localized redness, swelling, itching, and dryness), Moderate Eye Irritation (redness, swelling, pain, tearing, and blurred or hazy vision), Signs/symptoms may include cough, sneezing, nasal discharge, headache, hoarseness, nose and throat pain, Simple Asphyxiation (increased heart rate, rapid respirations, drowsiness, headache, incoordination, altered judgement, nausea, vomiting, lethargy, seizures, coma), Central Nervous System Depression (headache, dizziness, drowsiness, incoordination, nausea, slowed reaction time, slurred speech, giddiness, and unconsciousness)']",['10.1. Information on Physical and Chemical Properties 10.2. Chemical stability 11.1. Information on Toxicological effects']
26,T,T,['What are the emergency procedures in case of inhalation of the product?'],['IF INHALED: Remove person to fresh air and keep comfortable for breathing.'],"['6.1 Personal precautions, protective equipment and emergency procedures']"
27,T,T,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with soap and water. If signs/symptoms develop, get medical attention.']",['SECTION 4: First aid measures 4.1. Description of first aid measures']
28,T,T,['What are the emergency procedures in case of eye contact with the product?'],"['Flush with large amounts of water. Remove contact lenses if easy to do. Continue rinsing. If signs/symptoms persist, get medical attention.']","['4.1. Description of first aid measures, 4.2. Most important symptoms and effects, both acute and delayed']"
29,T,T,['What are the emergency procedures in case of ingestion of the product?'],"['Rinse mouth. If you feel unwell, get medical attention.']",['Section 4: First aid measures / 4.1. Description of first aid measures / 4.1']
30,T,T,['What is the waste disposal method for the product?'],['Dispose of contents/container in accordance with local/regional/national/international regulations. Incinerate uncured product in a permitted waste incineration facility. Dispose of completely cured (or polymerized) material in a permitted industrial waste facility.'],['SECTION 13: Disposal considerations']
31,T,T,['Are there any specific storage requirements or conditions for safely storing the product?'],['Store in a well-ventilated place. Keep container tightly closed. Protect from sunlight. Do not expose to temperatures exceeding 50C/122F.'],"['SECTION 7: Handling and storage, SECTION 7.2: Conditions for safe storage including any incompatibilities']"
32,F,F,['What is the shelf life of the product?'],['Avoid exposure to temperatures exceeding 50C/122F'],['7.2. Conditions for safe storage including any incompatibilities']
33,T,F,['What are the composition and ingredients of the product?'],"['35 - 45% Dimethyl Ether, 25 - 35% Methyl Acetate, 7 - 13% Cyclohexane, 1 - 5% 1,1-Difluoroethane, 1 - 5% Pentane']",['SECTION 3: Composition/information on ingredients']
34,T,T,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],['Hazardous polymerization will not occur; heat; strong oxidizing agents; strong acids'],"['SECTION 10.3, SECTION 10.4']"
35,T,T,['What is the odor of the product?'],['Clear sweet fruity odor'],['SECTION 9: Physical and chemical properties 9.1. Information on basic physical and chemical properties']
36,T,T,['What is the boiling point of the product?'],['I dont know'],['N/A']
