,Source(T/F),Answer(T/F),Question,Answer,Source
0,T,T,['What is the product identifier?'],['Trade name / Article No: KLEIBERIT 826.0'],['1.1. Product identifier']
1,T,T,['When was the Safety Data Sheet issued?'],['Printing date 08/15/2016'],['2.1. Classification of the substance or mixture']
2,T,T,['What is the product description?'],"['Fluid with a colorless appearance, mild odor.']",['9.1. Information on basic physical and chemical properties']
3,T,T,['Who is the manufacturer of the product?'],"['M.G.Becker GmbH + Co. KG 109-B Howie Mine Road, PO Box 1319 Max Becker Str. 4 D - 76356 Weingarten / Baden Waxhaw, NC 28173 . Germany USA']",['1.1 Product identifier Trade name / Article No: KLEIBERIT 826.0']
4,T,T,['What is the emergency telephone number for the product?'],"['1-800-424-9300 (CHEMTREC), 1-800-451-1403 (SARA-HOTLINE)']",['1.4. Emergency telephone number']
5,T,F,['What are the hazard classifications associated with the product?'],"['Void, Hazardous Material (US), NFPA-ratings (scale 0 - 4), HMIS-ratings (scale 0 - 4)']",['2.2. Label elements']
6,T,T,['What is the signal word used for the product?'],['Void'],['2.2. Label elements']
7,T,T,['What are the hazard statements related to the product?'],['Void'],['2.2 Label elements']
8,T,T,['What precautions should be taken while handling the product?'],['No special measures required for safe handling.'],['7.1. Precautions for safe handling']
9,T,T,['What are the first aid measures in case of inhalation?'],['Supply fresh air; consult doctor in case of complaints'],['4.1. Description of first aid measures']
10,T,T,['What are the first aid measures in case of skin contact?'],['Generally the product does not irritate the skin.'],['4.1. Description of first aid measures']
11,T,T,['What are the first aid measures in case of eye contact?'],['Rinse opened eye for several minutes under running water. Seek medical treatment.'],['4.1. Description of first aid measures']
12,T,T,['What are the first aid measures in case of ingestion?'],['Rinse out mouth with plenty of water. Rinse out mouth and then drink plenty of water. Seek medical treatment.'],['4.1. Description of first aid measures']
13,T,T,['What are the suitable extinguishing media for a fire involving the product?'],"['CO2, extinguishing powder or water spray']",['5.1. Extinguishing media']
14,T,T,['What are the special hazards arising from the substance during a fire?'],['No further relevant information available'],['5.2. Special hazards arising from the substance or mixture']
15,T,T,['Are there any special fire handling procedures required for the product?'],"['Fight lar ger fires with water spray or alcohol resistant foam, Wear self-contained respiratory protective device.']",['5.1 Extinguishing media and 5.3 Advice for firefighters']
16,T,T,"['How should accidental releases, spill, or leak of the product be handled?']","['Absorb with liquid-binding material (sand, diatomite, acid binders, universal binders, sawdust), see Section 6.3 for methods and material for containment and cleaning up']",['6.3. Methods and material for containment and cleaning up']
17,T,T,['What precautions should be taken for safe handling and storage of the product?'],"['No special measures required for safe handling, keep container tightly closed for storage, observe national regulations in one common storage facility']","['7.1 Precautions for safe handling, 7.2 Conditions for safe storage including any incompatibilities, and 7.3 Specific end use(s)']"
18,T,T,['What are the exposure controls and personal protection measures recommended for the product?'],"['General protective and hygienic measures should be followed, breathing equipment is not required, protective gloves are recommended for protection of hands.']",['8.2 Exposure controls and Personal protective equipment']
19,T,T,['What are the physical and chemical properties of the product?'],['Appearance: Form: Fluid Color: Colorless Odor: Mild Odor threshold: Not determined pH-value at 20 °C (68 °F): 6-7.5 (100g/L) Melting point/Melting range: -20 °C (-4 °F) Boiling point/Boiling range: 229 °C (444 °F) Setting temperature / range: 4 - 8 °C (39 - 46 °F) Flash Point: >200 °C (>392 °F) Vapour Pressure at 20 °C (68 °F): <0.1 hPa (<0 mm Hg) Density at 20 °C (68 °F): 1.13 g/cm³ (9.43 lbs/gal)'],['9.1. Information on basic physical and chemical properties']
20,T,T,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],['Stable when stored and used properly. No dangerous reactions known.'],['10.2. Chemical stability']
21,T,T,['What are the possible hazardous decomposition products of the product?'],['I dont know'],"['N/A""']"
22,T,T,['What is the toxicological information available for the product?'],"['Acute toxicity: Based on available data, the classification criteria are not met. LD/LC50 values that are relevant for classification: 25322-68-3polyethylene glycol Oral LD 50>15000 mg/kg (rat) DermalLD 50>20000 mg/kg (rabbit) >2000 mg/kg (rat). Primary irritant effect: on the skin: Based on available data, the classification criteria are not met. on the eye: Based on available data, the classification criteria are not met. Sensitization: Based on available data, the classification criteria are not met.']",['11.1. Information on toxicological effects']
23,T,T,['What are the safety precautions and handling instructions for using the product?'],"['No special measures required for handling, general protective and hygienic measures should be followed; wear self-contained respiratory protective device as a precaution; keep container tightly closed during storage; observe national regulations for common storage facilities.']","['7.1 Handling, 6.3 Methods and material for containment and cleaning up, 7.2 Conditions for safe storage, including any incompatibilities']"
