,Source(T/F),Answer(T/F),Question,Answer,Source
0,,,['What is the Logix5000 controller used for?'],['Logix5000 controllers are used for industrial automation applications.'],"['Chapter 1 Connections, Chapter 3 Controller Logging']"
1,,,['What is a connection in the context of Logix5000 controllers?'],"['A communication link between two devices, such as between a controller and an I/O module, PanelView terminal, or another controller.']",['Chapter 1 Connections Introduction']
2,,,['How is memory managed in Logix5000 controllers?'],"['The memory in Logix5000 controllers can be divided into several areas: Data and logic memory for tags other than I/O, produced, or consumed tags; I/O memory for I/O tags; Produced/consumed memory for produced/consumed tags; and Logic routines for communication with polled (OPC/DDE) tags that use RSLinx software.']",['Chapter 2 Determine Controller Memory Information']
3,,,['What does the Requested Packet Interval (RPI) specify?'],['The period at which data updates over a connection.'],['Requeste Packet Interval (RPI)']
4,,,['How do you inhibit a connection in Logix5000 controllers?'],"['You can inhibit a connection by inhibiting individual modules or groups of modules, which prevents the controller from trying to communicate with the modules. When you configure an I/O module, it defaults to being not inhibited. You can change an individual module’s properties to inhibit a module.']",['Connections Inhibit a Connection']
5,,,['What happens when a connection fails in a Logix5000 controller?'],"['If a module loses its connection to the controller, outputs go to their configured faulted state. The controller continues to operate based on old data from the module.']",['Monitor the Health of a Module']
6,,,['How do you monitor the health of a module?'],['Use a Get System Value (GSV) instruction to monitor the MODULE object for either the controller or a specific module.'],['Monitor the Health of a Module']
7,,,['What are the different types of faults in Logix5000 controllers?'],"['3/23 type fault code, 3/16 type fault code']",['Chapter 1 Connections']
8,,,['What is the function of the Controller Log?'],"['A record of interactions that have occurred in the controller due to physical conditions like keyswitch and removable media, fault conditions, and programming changes configured in the application.']",['Controller Log Chapter 3 Writing the Controller Log to the CompactFlash Card The controller log can be written to the CompactFlash card either automatically or on demand.']
9,,,['What kind of changes are logged by the Controller Log?'],"['physical conditions like keyswitch and removable media, fault conditions, and programming changes configured in the application']","['Controller LogA controller log is a record of interactions that have occurred in the controller due to physical conditions like keyswitch and removable media, fault conditions, and programming changes configured in the application.']"
10,,,['What does the GSV instruction do?'],['The GSV instruction retrieves the specified information and places it in the destination.'],['Get and Set System Data']
11,,,['What does the SSV instruction do?'],['The SSV instruction sets the specified attribute with data from the source.'],"['Follow these steps to get or set a system value. 1.Open the project. 2.From the Help menu, choose Contents. 3.Click the Index tab. 4.Type GSV/SSV objects and click Display.EXAMPLE Several Tasks but No SFC Suppose you have two tasks that use ladder diagrams. When the first task runs for the first time, S:FS turns on for one scan. After that, S:FS stays off for that task. When the other task runs for the first time, S:FS turns on for one scan in that task. S:FS stays off in the first task that ran. ATTENTION: Use the SSV instruction carefully.']"
12,,,['What are the key components of a controller log entry?'],"['Record Number, Time of Occurrence (UTC - 24 hour clock), Entry Description, Windows User Name, Workstation Name, FactoryTalk User ID (if available), Extended Information']",['Controller Log Entry']
13,,,['What is the role of the AuditValue in Logix5000 controllers?'],"['The AuditValue is a unique value that is generated when a project is downloaded to the controller or loaded from removable storage. When a change is detected this value is updated, and it indicates that a batch of one or more changes has been applied to the controller.']",['Attribute Name Description Access']
14,,,['What is the purpose of the CompactFlash card in Logix5000 controllers?'],"['to store controller log entries in plain text files in the TSV format until it reaches 1 MB in size, at which point a new file is created and older entries are discarded']","['Writing the Controller Log to the CompactFlash Card, Controller Log Files and the Removable Media']"
15,,,['What is a major fault in the controller and how is it triggered?'],"['A major fault in the controller is triggered when there is a loss of connection between the controller and a required module, or when communication with a device times out.']","['Configure a Major Fault to Occur, If you want the controller to Then Fault (major fault) Configure a Major Fault to Occur']"
16,,,['How do you configure a major fault to occur in the controller?'],"['Check the ‘Major Fault On Controller…Run Mode’ box, and ensure the controller is connected to the module during the Program transition to Run mode. During the 20-second delay, the controller makes one attempt to connect to a module. If the connection is dropped while in Run mode or cannot be established during the delay, a fault occurs.']",['Configure a Major Fault to Occur']
17,,,['What is an SFC (Sequential Function Chart) in Logix5000 controllers?'],['A Sequential Function Chart (SFC) is a type of programming structure that supports status keywords.'],['Access Status Information']
