,Question,Answer,Source
0,['What is the product identifier?'],"[""The product identifier is: 3M™ Hi-Strength Spray Adhesive 90. This can be found in SECTION 1: Identification of the Safety Data Sheet, specifically under Product Identifier (1.1). It's essential to note that this product contains a mixture of ingredients with unknown acute oral toxicity, dermal toxicity, and inhalation toxicity, as stated in SECTION 3: Composition/information on ingredients and SECTION 2: Hazard identification. Therefore, when handling this product, it's crucial to follow the recommended use and restrictions on use (SECTION 1), take necessary precautions during application (SECTION 4: First aid measures), and ensure proper disposal of the contents and container in accordance with local/regional/national/international regulations (SECTION 13: Disposal considerations). For accurate information on this product, consult the provided Safety Data Sheet or contact the manufacturer's emergency telephone number.""]","['SECTION 1: Identification, SECTION 2: Hazard identification, SECTION 3: Composition/information on ingredients, and SECTION 13: Disposal considerations']"
1,['When was the Safety Data Sheet issued?'],"[""The Safety Data Sheet was issued on January 5, 2017. This document is subject to revision; the most recent update superseded the previous one on October 26, 2016. It's essential to regularly review and verify safety data sheets for accuracy and applicability to specific situations. In this case, a date of issuance has been provided, but users should be aware that safety considerations might change over time due to various factors such as updated regulations or new scientific knowledge.""]",['SECTION 1: Identification']
2,['What is the product description?'],"['""The product described in the Safety Data Sheet is 3M™ Hi-Strength Spray Adhesive 90, a high-strength aerosol adhesive used for bonding various materials. It is a flammable aerosol with potential hazards related to inhalation, skin contact, and eye exposure. Key safety considerations include proper ventilation, use of personal protective equipment (PPE), and following the recommended first aid measures in case of accidents.\n\nPractical recommendations include:\n\n* Using 3M Hi-Strength Spray Adhesive 90 in a well-ventilated area or with adequate respiratory protection to avoid inhalation hazards.\n* Wearing PPE such as gloves, safety glasses, and a face mask when handling the product to prevent skin contact and eye exposure.\n* Following the recommended first aid measures for inhalation, skin contact, and eye exposure.\n\nCritical warnings include:\n\n* The potential for fire or explosion if not used in accordance with the manufacturer\'s instructions.\n* The unknown acute oral toxicity, dermal toxicity, and inhalation toxicity of 41%, 53%, and 56% of the mixture respectively, which highlights the importance of proper handling and use.\n\nIt is essential to consult local regulations and follow best practices for safe product usage. For specific guidance on application, refer to Section 1 of the Safety Data Sheet."",\n']","['""SECTION 1: Identification; SECTION 2: Hazard identification; SECTION 3: Composition/information on ingredients; SECTION 4: First aid measures""\n']"
3,['Who is the manufacturer of the product?'],"['""The manufacturer of 3M™ Hi-Strength Spray Adhesive 90 is 3M Company, specifically the Construction and Home Improvement Markets Division. It\'s essential to note that this product is a flammable aerosol with potential risks, such as causing eye irritation, respiratory issues, and displacement of oxygen leading to rapid suffocation. Therefore, users should take necessary precautions when handling this product, including wearing protective gear like gloves and respirators, depending on the exposure assessment. It\'s also crucial to follow local regulations regarding the use, storage, and disposal of flammable materials.\n\nWhen selecting personal protective equipment (PPE), consider factors such as exposure levels, concentration of the substance or mixture, frequency, duration, physical challenges, and other conditions. Consult with your PPE manufacturer for compatible options. Additionally, ensure you have a full respiratory protection program in place if a respirator is needed.\n\nThe Safety Data Sheet (SDS) emphasizes user responsibility for determining whether the product is fit for a particular purpose and suitable for their method of use or application. Given the complexity and potential hazards associated with this product, it\'s advisable to consult with safety experts or regulatory authorities for guidance on safe handling and use procedures.\n"",\n']","['""SECTION 1: Identification (Product identifier), SECTION 2: Hazard identification (Hazard classification, Label elements), SECTION 9: Physical and chemical properties (Odor, Color, Grade)""\n']"
4,['What is the emergency telephone number for the product?'],"['""The emergency telephone number for the product is listed in SECTION 1: Identification as 1-800-364-3577 or (651) 737-6501 (24 hours). Additionally, the contact information for the manufacturer, 3M, is provided in SECTION 1.3 and can be reached at 1-888-3M HELPS (1-888-364-3577). It\'s essential to note that these numbers should only be used in emergency situations and not for general inquiries or product-related questions.\n\nIn terms of key safety considerations, the product is classified as a Flammable Aerosol (Category 1), Gas Under Pressure (Liquefied gas), Serious Eye Damage/Irritation (Category 2B), Simple Asphyxiant, Specific Target Organ Toxicity (single exposure) Category 1 and 3. The user should exercise caution when handling the product, ensuring it is kept away from children and used in well-ventilated areas.\n\nTo mitigate risks associated with this product, users should follow the recommended use and restrictions listed in SECTION 1.2, take necessary precautions to prevent fires or explosions, and be aware of the potential for eye irritation and respiratory problems. It\'s also crucial to dispose of the product responsibly and according to local regulations.\n\nWhen encountering any issues or concerns related to this product, it is essential to consult with the manufacturer or relevant authorities. Local regulations may dictate specific procedures for handling and disposing of flammable aerosols like this one. Therefore, users should familiarize themselves with these requirements and adhere to them strictly."",\n']","['""SECTION 1: Identification, SECTION 4: First Aid Measures (not explicitly mentioned but crucial in context), SECTION 10: Regulatory Information""\n']"
5,['What are the hazard classifications associated with the product?'],[''],[IndexError('list index out of range')]
6,['What is the signal word used for the product?'],"['""The signal word used for the product is \'Danger\'. This indicates that the product poses a significant hazard and requires careful handling to prevent injury. Key safety considerations include the extremely flammable aerosol and gas under pressure, which can explode if heated. The product also causes eye irritation, respiratory irritation, drowsiness or dizziness, and may displace oxygen, leading to rapid suffocation. It is essential to follow the precautionary statements provided on the Safety Data Sheet, such as keeping the product away from heat, sparks, open flames, and hot surfaces. Additionally, it is crucial to use the product only outdoors or in a well-ventilated area, avoid eating, drinking, or smoking while using the product, and wash thoroughly after handling. If exposure occurs, call a poison center or doctor/physician for specific treatment. To mitigate risks, consider the following recommendations:\n\n* Store the product in a cool, dry place away from direct sunlight.\n* Keep the product out of reach of children and avoid using it near open flames or igniti']","['* Use personal protective equipment (PPE) such as gloves and safety glasses when handling the product.\n* Follow local regulations for the safe storage and disposal of flammable aerosols.\n\nCritical warnings include:\n\n* The product may explode if heated, so never apply heat to the container.\n* Avoid inhaling dust, fumes, gas, mist, vapors, or spray from the product.\n* If inhaled, remove the person to fresh air and keep them comfortable for breathing. If in eyes, rinse cautiously with water for several minutes.\n\nPrioritize user safety by following these guidelines and consulting local authorities if unsure about any aspect of handling this product."",\n  ']"
7,['What are the hazard statements related to the product?'],"['The hazard statements related to the product include: Extremely flammable aerosol. Contains gas under pressure; may explode if heated. Causes eye irritation. May cause respiratory irritation. May cause drowsiness or dizziness. May displace oxygen and cause rapid suffocation. Causes damage to organs: cardiovascular system. It is essential to note these hazards and take necessary precautions to avoid exposure, especially in well-ventilated areas, and follow the recommended storage conditions to prevent explosions. In case of an emergency, call a POISON CENTER or doctor/physician for specific treatment. When handling this product, it is crucial to adhere to local regulations, such as the OSHA Hazard Communication Standard (29 CFR 1910.1200), and consult with appropriate authorities or experts for complex situations. The NFPA hazard ratings for this product are: Health - 2, Flammability - 4, Instability - 0, Special Hazards - None, Aerosol Storage Code - 3. These classifications highlight the importance of proper storage and handling to prevent accidents.']",['Hazard Statements in Section 2.2']
8,['What precautions should be taken while handling the product?'],[''],[IndexError('list index out of range')]
9,['What are the first aid measures in case of inhalation?'],"[""In case of inhalation, remove person to fresh air. Get medical attention immediately, as exposure may increase myocardial irritability. This is crucial because inhaling the substance can lead to serious health issues due to its toxicological effects (Section 4: First aid measures). To prevent such incidents, make sure to use this product in well-ventilated areas, avoid spraying it near open flames or other ignition sources, and follow the precautions for safe handling (Section 7: Handling and storage). If you're unsure about the appropriate response to an inhalation incident, always refer to Section 11.1. Information on toxicological effects, which provides detailed information on the substance's properties.""]","['SECTION 4: First aid measures, SECTION 7: Handling and storage']"
