,Source(T/F),Answer(T/F),Question,Answer,Source,
0,T,T,"[""'What is the Logix5000 controller used for?'""]","['A Logix5000 controller uses connections for many, but not all, of its communication with other devices.']",['Chapter 1 Connections Introduction'],
1,T,T,"[""'What is a connection in the context of Logix5000 controllers?'""]","['A communication link between two devices, such as between a controller and an I/O module, PanelView terminal, or another controller.']",['Chapter 1 Connections Introduction'],
2,T,T,"[""'How is memory managed in Logix5000 controllers?'""]","['The memory of Logix5000 controllers is divided into several areas: I/O tags are stored in one area, produced/consumed tags and communication via Message (MSG) instructions are stored in another area, and data and logic memory, logic routines, and communication with polled (OPC/DDE) tags that use RSLinx software are stored in the third area. This is not true for all Logix5000 controllers as 1769-L2 and 1769-L3 x CompactLogix FlexLogix DriveLogix SoftLogix5800 do not divide their memory, storing all elements in one common memory area. ']","['Chapter 2 Determine Controller Memory Information Estimate Memory Information Offline, Chapter 2 Determine Controller Memory Information View Run-time Memory Information']",
3,T,T,"[""'What does the Requested Packet Interval (RPI) specify?'""]",['The period at which data updates over a connection.'],['Requesting Packet Interval (RPI)'],
4,T,F,"[""'How do you inhibit a connection in Logix5000 controllers?'""]",['Inhibit a module while you are connected to the moduleThe connection to the module is closed. The modu les’ outputs go to the last configured Program mode.'],['Chapter 1 Connections Inhibit a Connection'],有奇怪的單字
5,T,T,"[""'What happens when a connection fails in a Logix5000 controller?'""]","['If communication with a module times out, the controller produces these warnings: ·The I/O status indicator on the front of the controller flashes green. ·A shows over the I/O configuration folder and over the device that has timed out. ·A module fault code is produced, which you can access through: –Module Properties window for the module. –GSV instruction.']",['Monitor the Health of a Module'],
6,T,T,"[""'How do you monitor the health of a module?'""]","['Use a Get System Value (GSV) instruction to monitor the MODULE object for either the controller or a specific module. If the connection times out, continue operation without invoking a major fault on the controller.']",['Monitor the Health of a Module'],
7,T,T,"[""'What are the different types of faults in Logix5000 controllers?'""]",['3/23 type fault code and 3/16 type fault'],['Major Fault On Controller…Run Mode'],
8,T,T,"[""'What is the function of the Controller Log?'""]","['A record of interactions that have occurred in the controller due to physical conditions like keyswitch and removable media, fault conditions, and programming changes configured in the application.']","['Controller Log Chapter 3 Controller Logging, A controller log is a record of interactions...']",
9,T,T,"[""'What kind of changes are logged by the Controller Log?'""]","['physical conditions like keyswitch and removable media, fault conditions, and programming changes configured in the application']",['Controller Log'],
